cohort_month,month_number,active_customers,cohort_customers,retention_rate
2016-09-01,0,1,1,1.0
2016-10-01,0,262,262,1.0
2016-10-01,6,1,262,0.0038167938931297
2016-10-01,9,1,262,0.0038167938931297
2016-10-01,11,1,262,0.0038167938931297
2016-10-01,13,1,262,0.0038167938931297
2016-10-01,15,1,262,0.0038167938931297
2016-10-01,17,1,262,0.0038167938931297
2016-10-01,19,2,262,0.0076335877862595
2016-10-01,20,2,262,0.0076335877862595
2016-12-01,0,1,1,1.0
2016-12-01,1,1,1,1.0
2017-01-01,0,717,717,1.0
2017-01-01,1,2,717,0.00278940027894
2017-01-01,2,2,717,0.00278940027894
2017-01-01,3,1,717,0.00139470013947
2017-01-01,4,3,717,0.00418410041841
2017-01-01,5,1,717,0.00139470013947
2017-01-01,6,3,717,0.00418410041841
2017-01-01,7,1,717,0.00139470013947
2017-01-01,8,1,717,0.00139470013947
2017-01-01,10,3,717,0.00418410041841
2017-01-01,11,1,717,0.00139470013947
2017-01-01,12,5,717,0.00697350069735
2017-01-01,13,3,717,0.00418410041841
2017-01-01,14,1,717,0.00139470013947
2017-01-01,15,1,717,0.00139470013947
2017-01-01,16,2,717,0.00278940027894
2017-01-01,17,3,717,0.00418410041841
2017-01-01,19,1,717,0.00139470013947
2017-02-01,0,1628,1628,1.0
2017-02-01,1,3,1628,0.0018427518427518
2017-02-01,2,5,1628,0.003071253071253
2017-02-01,3,2,1628,0.0012285012285012
2017-02-01,4,7,1628,0.0042997542997543
2017-02-01,5,2,1628,0.0012285012285012
2017-02-01,6,4,1628,0.0024570024570024
2017-02-01,7,3,1628,0.0018427518427518
2017-02-01,8,2,1628,0.0012285012285012
2017-02-01,9,3,1628,0.0018427518427518
2017-02-01,10,2,1628,0.0012285012285012
2017-02-01,11,5,1628,0.003071253071253
2017-02-01,12,2,1628,0.0012285012285012
2017-02-01,13,3,1628,0.0018427518427518
2017-02-01,14,2,1628,0.0012285012285012
2017-02-01,15,1,1628,0.0006142506142506
2017-02-01,16,1,1628,0.0006142506142506
2017-02-01,17,3,1628,0.0018427518427518
2017-03-01,0,2503,2503,1.0
2017-03-01,1,11,2503,0.0043947263284059
2017-03-01,2,9,2503,0.0035956851777866
2017-03-01,3,10,2503,0.0039952057530962
2017-03-01,4,9,2503,0.0035956851777866
2017-03-01,5,4,2503,0.0015980823012385
2017-03-01,6,4,2503,0.0015980823012385
2017-03-01,7,8,2503,0.003196164602477
2017-03-01,8,8,2503,0.003196164602477
2017-03-01,9,2,2503,0.0007990411506192
2017-03-01,10,9,2503,0.0035956851777866
2017-03-01,11,3,2503,0.0011985617259288
2017-03-01,12,5,2503,0.0019976028765481
2017-03-01,13,3,2503,0.0011985617259288
2017-03-01,14,4,2503,0.0015980823012385
2017-03-01,15,6,2503,0.0023971234518577
2017-03-01,16,2,2503,0.0007990411506192
2017-03-01,17,3,2503,0.0011985617259288
2017-04-01,0,2256,2256,1.0
2017-04-01,1,14,2256,0.0062056737588652
2017-04-01,2,5,2256,0.0022163120567375
2017-04-01,3,4,2256,0.00177304964539
2017-04-01,4,6,2256,0.0026595744680851
2017-04-01,5,6,2256,0.0026595744680851
2017-04-01,6,8,2256,0.0035460992907801
2017-04-01,7,7,2256,0.0031028368794326
2017-04-01,8,7,2256,0.0031028368794326
2017-04-01,9,4,2256,0.00177304964539
2017-04-01,10,6,2256,0.0026595744680851
2017-04-01,11,2,2256,0.000886524822695
2017-04-01,12,1,2256,0.0004432624113475
2017-04-01,13,1,2256,0.0004432624113475
2017-04-01,14,2,2256,0.000886524822695
2017-04-01,15,2,2256,0.000886524822695
2017-04-01,16,3,2256,0.0013297872340425
2017-05-01,0,3451,3451,1.0
2017-05-01,1,16,3451,0.0046363372935381
2017-05-01,2,16,3451,0.0046363372935381
2017-05-01,3,10,3451,0.0028977108084613
2017-05-01,4,10,3451,0.0028977108084613
2017-05-01,5,11,3451,0.0031874818893074
2017-05-01,6,14,3451,0.0040567951318458
2017-05-01,7,5,3451,0.0014488554042306
2017-05-01,8,9,3451,0.0026079397276151
2017-05-01,9,9,3451,0.0026079397276151
2017-05-01,10,9,3451,0.0026079397276151
2017-05-01,11,12,3451,0.0034772529701535
2017-05-01,12,8,3451,0.002318168646769
2017-05-01,13,1,3451,0.0002897710808461
2017-05-01,14,6,3451,0.0017386264850767
2017-05-01,15,7,3451,0.0020283975659229
2017-06-01,0,3037,3037,1.0
2017-06-01,1,15,3037,0.0049390846229832
2017-06-01,2,12,3037,0.0039512676983865
2017-06-01,3,13,3037,0.0042805400065854
2017-06-01,4,9,3037,0.0029634507737899
2017-06-01,5,12,3037,0.0039512676983865
2017-06-01,6,11,3037,0.0036219953901876
2017-06-01,7,7,3037,0.0023049061573921
2017-06-01,8,4,3037,0.0013170892327955
2017-06-01,9,6,3037,0.0019756338491932
2017-06-01,10,9,3037,0.0029634507737899
2017-06-01,11,11,3037,0.0036219953901876
2017-06-01,12,5,3037,0.0016463615409944
2017-06-01,13,5,3037,0.0016463615409944
2017-06-01,14,7,3037,0.0023049061573921
2017-07-01,0,3752,3752,1.0
2017-07-01,1,20,3752,0.0053304904051172
2017-07-01,2,13,3752,0.0034648187633262
2017-07-01,3,9,3752,0.0023987206823027
2017-07-01,4,11,3752,0.0029317697228144
2017-07-01,5,8,3752,0.0021321961620469
2017-07-01,6,12,3752,0.0031982942430703
2017-07-01,7,4,3752,0.0010660980810234
2017-07-01,8,7,3752,0.001865671641791
2017-07-01,9,10,3752,0.0026652452025586
2017-07-01,10,8,3752,0.0021321961620469
2017-07-01,11,11,3752,0.0029317697228144
2017-07-01,12,5,3752,0.0013326226012793
2017-07-01,13,9,3752,0.0023987206823027
2017-08-01,0,4057,4057,1.0
2017-08-01,1,28,4057,0.0069016514666009
2017-08-01,2,14,4057,0.0034508257333004
2017-08-01,3,11,4057,0.0027113630761646
2017-08-01,4,14,4057,0.0034508257333004
2017-08-01,5,21,4057,0.0051762385999507
2017-08-01,6,12,4057,0.0029578506285432
2017-08-01,7,11,4057,0.0027113630761646
2017-08-01,8,6,4057,0.0014789253142716
2017-08-01,9,6,4057,0.0014789253142716
2017-08-01,10,10,4057,0.002464875523786
2017-08-01,11,8,4057,0.0019719004190288
2017-08-01,12,5,4057,0.001232437761893
2017-09-01,0,4004,4004,1.0
2017-09-01,1,28,4004,0.0069930069930069
2017-09-01,2,22,4004,0.0054945054945054
2017-09-01,3,11,4004,0.0027472527472527
2017-09-01,4,18,4004,0.0044955044955044
2017-09-01,5,9,4004,0.0022477522477522
2017-09-01,6,9,4004,0.0022477522477522
2017-09-01,7,10,4004,0.0024975024975024
2017-09-01,8,11,4004,0.0027472527472527
2017-09-01,9,7,4004,0.0017482517482517
2017-09-01,10,10,4004,0.0024975024975024
2017-09-01,11,3,4004,0.0007492507492507
2017-10-01,0,4328,4328,1.0
2017-10-01,1,31,4328,0.0071626617375231
2017-10-01,2,11,4328,0.0025415896487985
2017-10-01,3,4,4328,0.0009242144177449
2017-10-01,4,10,4328,0.0023105360443622
2017-10-01,5,9,4328,0.002079482439926
2017-10-01,6,9,4328,0.002079482439926
2017-10-01,7,16,4328,0.0036968576709796
2017-10-01,8,12,4328,0.0027726432532347
2017-10-01,9,8,4328,0.0018484288354898
2017-10-01,10,9,4328,0.002079482439926
2017-11-01,0,7060,7060,1.0
2017-11-01,1,40,7060,0.0056657223796034
2017-11-01,2,26,7060,0.0036827195467422
2017-11-01,3,12,7060,0.001699716713881
2017-11-01,4,12,7060,0.001699716713881
2017-11-01,5,13,7060,0.0018413597733711
2017-11-01,6,8,7060,0.0011331444759206
2017-11-01,7,13,7060,0.0018413597733711
2017-11-01,8,9,7060,0.0012747875354107
2017-11-01,9,4,7060,0.0005665722379603
2017-12-01,0,5338,5338,1.0
2017-12-01,1,11,5338,0.002060696890221
2017-12-01,2,15,5338,0.0028100412139378
2017-12-01,3,18,5338,0.0033720494567253
2017-12-01,4,14,5338,0.0026227051330086
2017-12-01,5,11,5338,0.002060696890221
2017-12-01,6,9,5338,0.0016860247283626
2017-12-01,7,1,5338,0.0001873360809291
2017-12-01,8,10,5338,0.0018733608092918
2018-01-01,0,6842,6842,1.0
2018-01-01,1,23,6842,0.0033615901783104
2018-01-01,2,25,6842,0.0036539023677287
2018-01-01,3,20,6842,0.0029231218941829
2018-01-01,4,20,6842,0.0029231218941829
2018-01-01,5,11,6842,0.0016077170418006
2018-01-01,6,12,6842,0.0017538731365097
2018-01-01,7,16,6842,0.0023384975153463
2018-02-01,0,6288,6288,1.0
2018-02-01,1,22,6288,0.0034987277353689
2018-02-01,2,25,6288,0.0039758269720101
2018-02-01,3,19,6288,0.0030216284987277
2018-02-01,4,16,6288,0.0025445292620865
2018-02-01,5,14,6288,0.0022264631043256
2018-02-01,6,13,6288,0.0020674300254452
2018-03-01,0,6774,6774,1.0
2018-03-01,1,27,6774,0.003985828166519
2018-03-01,2,20,6774,0.0029524653085326
2018-03-01,3,20,6774,0.0029524653085326
2018-03-01,4,8,6774,0.001180986123413
2018-03-01,5,8,6774,0.001180986123413
2018-04-01,0,6582,6582,1.0
2018-04-01,1,39,6582,0.0059252506836827
2018-04-01,2,20,6582,0.0030385900941962
2018-04-01,3,16,6582,0.002430872075357
2018-04-01,4,9,6582,0.0013673655423883
2018-05-01,0,6506,6506,1.0
2018-05-01,1,34,6506,0.0052259452812788
2018-05-01,2,17,6506,0.0026129726406394
2018-05-01,3,12,6506,0.0018444512757454
2018-06-01,0,5878,5878,1.0
2018-06-01,1,25,5878,0.0042531473290234
2018-06-01,2,16,5878,0.002722014290575
2018-07-01,0,5949,5949,1.0
2018-07-01,1,31,5949,0.0052109598251807
2018-08-01,0,6144,6144,1.0
